Geneid	KRS7_10_aTC1-6_1_DMSO	KRS7_13_aTC1-6_2_DMSO	KRS7_16_aTC1-6_3_DMSO	KRS7_11_aTC1-6_1_Tg6h	KRS7_14_aTC1.6_2_Tg6h	KRS7_17_aTC1-6_3_Tg6h	KRS7_12_aTC1-6_1_Tg24h	KRS7_15_aTC1-6_2_Tg24h	KRS7_18_aTC1-6_3_Tg24h
Zscan4d	0.111537982168252	0.273153809072218	0.10382271082895	0.0495185676498258	0.0551081261118276	0.019144366340849	0.0964095851567835	0.270612603086786	0.0760176552659931
Zscan4f	0.102506416134635	0.0386208804973306	0.0596349209568152	0	0.0253229276601833	0.00879709469644474	0.0147671684917477	0.0226091169402126	0.0232874256607363
Vmn1r72	0	0	0	0	0	0	0	0	0
Vmn1r73	0	0	0	0	0	0	0	0	0
Vmn1r74	0	0	0	0	0	0	0	0	0
Vmn1r75	0	0	0	0	0	0	0	0	0
Vmn1r76	0	0	0	0	0	0	0	0	0
Vmn1r77	0	0	0	0	0	0	0	0	0
Vmn1r78	0	0	0	0	0	0	0	0	0
Vmn1r79	0	0	0	0	0	0	0	0	0
Vmn1r80	0	0	0	0	0	0	0	0	0
Gm4224	0	0	0	0	0	0	0	0	0
Vmn1r81	0	0	0	0	0	0	0	0	0
Vmn1r82	0	0	0	0	0	0	0	0	0
Vmn1r83	0	0	0	0	0	0	0	0	0
Vmn1r84	0	0	0	0	0	0	0	0	0
Zfp551	1.78432863188194	1.57358125626567	1.42479475068503	1.02257649101311	1.53248104038341	1.45624559275006	1.3734642360441	1.3359709200106	1.54992153079722
Zfp606	30.2451641293651	30.0101482928766	30.4540256745874	43.4200162104423	44.5918872903541	41.8186159931915	31.5148283401349	30.4683381022212	33.3277796650976
2900092C05Rik	0	0	0	0	0	0	0	0	0
Vmn2r53	0	0	0	0	0	0	0	0	0
Vmn2r54	0	0	0	0	0	0	0	0	0
Vmn2r55	0	0	0	0	0	0	0	0	0
Vmn2r56	0	0.0233295616691805	0	0	0	0	0	0	0
Zscan18	1.95897173365267	1.5237635151683	1.29407288460505	2.43144169339476	2.68988681553617	1.97404058155037	1.62043889288923	1.19866404162525	1.36383085841159
Zfp329	7.00049920106727	6.44128595477462	6.3159557217451	5.38909097509649	5.18900225164118	5.71615593628419	5.19806770503695	4.93549786019862	5.76907679340132
Zfp110	37.5982144780047	40.8288537903086	37.3294425696207	58.9360433028343	63.0479460633189	55.8446161746374	38.6088738941629	50.230673202946	45.8256352472478
Zfp128	1.20105574340571	1.26378442966836	1.3219318866055	1.10487542043582	1.28305208708902	1.28765784647166	1.16908914818154	0.91683759910961	1.24956601854849
