Geneid	KRS7_37_PCCL3_1_DMSO	KRS7_38_PCCL3_1_Tg6h	KRS7_39_PCCL3_1_Tg24h	KRS7_40_PCCL3_2_DMSO	KRS7_41_PCCL3_2_Tg6h	KRS7_42_PCCL3_2_Tg24h	KRS7_43_PCCL3_3_DMSO	KRS7_44_PCCL3_3_Tg6h	KRS7_45_PCCL3_3_Tg24h	KRS7_46_PTH-C1_1_DMSO	KRS7_47_PTH-C1_1_Tg6h	KRS7_48_PTH-C1_1_Tg24h	KRS7_49_PTH-C1_2_DMSO	KRS7_50_PTH-C1_2_Tg6h	KRS7_51_PTH-C1_2_Tg24h	KRS7_52_PTH-C1_3_DMSO	KRS7_53_PTH-C1_3_Tg6h	KRS7_54_PTH-C1_3_Tg24h
Nmi	6.20845712624819	6.61544740594259	4.81444545296235	5.66654871308043	7.59160590609534	4.99879874867553	6.92354031430268	3.47014350695365	4.72880596678915	7.4221798951256	9.67086737381625	11.0713163867957	10.6723625978354	7.21303195193932	10.3587463554913	7.82765977318603	7.82198498071381	12.7885754542269
Dgat2l6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0597426419190206	0.0449274876824317	0.0954936958763323	0.0611152185452524
Pramel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC691895	0	0	0	0	0	0	0	0	0	0	0.0563211226140741	0.0155457794695592	0	0	0	0	0	0
Mageb7	0.061329957826926	0	0.0603428648792469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGD1563692	0	0	0	0	0	0	0	0	0	50.8794797436062	142.073160745258	40.3187798974867	30.0335254026401	132.12950982833	20.6882533201597	54.8902866563629	114.824357499516	17.4599388803948
Efhd1	6.02367321972125	7.97107852117704	4.27347953948748	9.0258053868859	9.96599958109925	3.23504245762764	1.88365941941272	4.61875587949044	3.09964929647259	0.0651577047856308	0.124890332498945	0	0	0	0.114089632280293	0	0	0
Tmie	0	0	0	0	0	0	0	0	0.037292046251025	0.131697858872158	0.252430459882776	0.418055757264656	0.346347186171211	0.802970966574204	0.384333168790497	0.69366026618736	1.08823274561849	1.62507437537702
Vps25	40.2448252524808	20.3707595104521	39.5317154400704	31.899421778309	13.619720408056	22.1545424114957	38.0198943187517	15.7140839694317	32.09592825824	24.7862586718435	35.9260728044996	38.1480650829995	28.4800327914968	31.9375595032844	29.0729296176174	28.1121491896705	29.9399890238419	30.3592025675607
Hfe	4.01723063526563	0.770209995616021	1.64690589233659	3.51162574449787	0.461555292019894	0.746134577984583	2.19766326278394	0.539617235180194	1.14646045084172	3.57243154339268	4.56494658871024	4.3470636120687	3.63273400491528	2.14356266235429	3.98482268267012	3.10118922336121	1.84099257125954	2.46478384291287
Zfp652	123.34030546223	86.2411791638175	99.7757602268563	133.645321200215	135.342997945907	152.853670920585	105.280534829669	89.0116020408764	87.545612785159	72.9453824605951	50.8056977613975	64.716032094706	62.0918606133335	58.9714679757008	68.0001312557329	50.5788195529208	45.6378165289398	66.8493792492463
Anapc5	486.500353679294	334.5833329848	396.777124672014	575.19934601618	363.379059698265	360.182901587318	389.54873507409	283.744110418859	380.643070698396	702.743267432888	436.150433214492	666.580292061759	795.865409210287	540.48390472492	635.88545914758	746.414421748625	478.147225107237	534.28204209909
Zfp707	5.70484324691971	5.51136114787502	5.28284703848501	7.16816465554569	3.17260647751265	5.07298062537836	6.26634085024039	4.78366881142071	4.68707076905964	2.75875263281049	5.75993540221887	3.20578276037224	3.38141278444944	5.59961713136008	3.27784741368096	5.12459959006986	7.56360079590992	3.76494638930346
Trappc10	72.3088156232201	81.4537301073366	88.543589779262	81.8049542272401	83.3169204324167	86.4426030374496	72.6313558582979	100.999136731008	85.5379862690449	84.8130099532072	68.0695951752724	74.5483070292037	77.6974766117372	92.8487245942195	89.9541472952507	89.7279289749832	91.449563410067	85.8530856330652
Vps50	23.8786857539184	20.5428545129441	25.3440032492837	23.4440897043175	18.970236557631	25.1937755945515	23.0516704556632	21.7917988707852	27.7057399824102	49.8979559314915	42.7983324129975	50.6886337980888	47.3122458946868	45.5111827918385	51.7635843979091	51.9028000935048	49.0383137622003	49.9650050044281
Fam217a	1.35252378477632	0.948119718937972	1.86305727307789	1.13251550481838	2.61066508938541	1.57606384765003	1.35150772792084	1.4170936771779	1.29874632051415	0.0694932935071082	0.466201840041214	0.165447287966906	0.109654660463332	0.363176077222951	0.456304304010771	0.41177836143917	0.694633212354093	0.746860503438941
Fndc5	0.589038417399363	0.305863828372507	0.627854463463	0.254440170257198	0.0902358941396194	0.103061933894915	0.229782188605453	0.097961791851173	0.257098983077443	0	0	0	0	0	0	0	0	0
Apobec1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017329679704669	0	0	0.0236371013723756
Cma1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cenpi	6.10832717341816	6.21331326702701	1.13702984874571	13.0073090007969	9.78739772891387	1.12305619970861	3.70950354971476	3.33862192591135	3.1224781094157	13.7301718672875	12.6057894812205	4.7120739038842	13.5005175856771	14.9242669233807	6.97076357229391	12.1671106024197	16.034988727104	8.98117214995555
Ppia	237.005941187831	173.83218036411	227.843920528705	185.649187132663	133.713219359613	178.965954863405	201.325773510574	85.1065631870446	212.828497765329	320.962970749345	124.82832941069	280.045932327441	252.092912876496	93.7087529221231	181.300384369972	243.601186648075	117.377769711009	153.364826619529
Myog	0	0	0	0	0	0	0	0	0	0	0	0.0367195246711362	0	0	0	0	0	0
